,level_0,index,review_title,review_comment,review_star_rating,asin,comments_no_stopwords,neg,neu,pos,compound,sentiment
1513,1624,1624,Christmas Present,Bought this for grandson who likes Math.  He enjoyed using it,5,B0C4FWC2TR,Bought grandson likes Math. He enjoyed using,0.0,0.45,0.55,0.7269,1
1514,1626,1626,Pleased,Pleased,5,B0C4FWC2TR,Pleased,0.0,0.0,1.0,0.4404,1
1515,1627,1627,Very nice and bright. Trust me lights do work on the side.,"Very nice product. My son does enjoy it. It can be a little annoying at time because if you don’t shut the Nintendo down any little movement or just one charger, the lights on the side tend to blink all the time so to me that’s a little annoying I think that when you’re not using it, the light should not blink off and on here and there but they do I think that something good to know, hope this was of some help to someone but you know kids they love lights, but they’re not awake in the night when they’re plugged up charging I am so I tend to always power it all the way down",5,B0CY1PYZYT,"Very nice product. My son enjoy it. It little annoying time don’t shut Nintendo little movement one charger, lights side tend blink time that’s little annoying I think you’re using it, light blink I think something good know, hope help someone know kids love lights, they’re awake night they’re plugged charging I I tend always power way",0.07,0.654,0.276,0.9346,1
1516,1628,1628,A vibe!!!!,"The rgb on these are so awesome. I've spent over 100 hours of playtime on them so far, and there's no drifting on the joycon, no button sticking or issues docking. I would say these are more durable than the on brand controller. MUST BUY",5,B0CY1PYZYT,"The rgb awesome. I've spent 100 hours playtime far, there's drifting joycon, button sticking issues docking. I would say durable brand controller. MUST BUY",0.0,0.843,0.157,0.6249,1
1517,1629,1629,NO customer service- would not recommend,"I gave these Switch replacement controllers to my son for his birthday. They had issues from the beginning.  Every time he tries to use them he has issues with moving his character. It will either get stuck in one spot or it will run backwards. We have tried pairing them with his Nintendo Switch multiple times, but it does not help. He loves the LED aspect on the controller and would really like a replacement pair that works.  I emailed once on May 11th and got no response. I emailed again on the 15th and still got no response. Today is the 22nd and I still have not heard from them- I gave them ample time and chances to get back to me with a solution. However apparently they do not care about a repeat customer base. I would not recommend this product or this company anyone.",1,B0CY1PYZYT,"I gave Switch replacement controllers son birthday. They issues beginning. Every time tries use issues moving character. It either get stuck one spot run backwards. We tried pairing Nintendo Switch multiple times, help. He loves LED aspect controller would really like replacement pair works. I emailed May 11th got response. I emailed 15th still got response. Today 22nd I still heard them- I gave ample time chances get back solution. However apparently care repeat customer base. I would recommend product company anyone.",0.022,0.764,0.213,0.9432,1
1518,1630,1630,Great product,Controller work well with Nintendo switch,5,B0CY1PYZYT,Controller work well Nintendo switch,0.0,0.656,0.344,0.2732,1
1519,1631,1631,Great replacement,"Offers a cost-effective alternative for gamers seeking an additional or replacement controller. This controller is compatible with the Nintendo Switch and provides a reliable and responsive gaming experience.

Its design closely mirrors the original Switch controller, ensuring familiar functionality and comfort during gameplay. The build quality is commendable, offering durability that can withstand extended gaming sessions.

For those looking to expand their multiplayer gaming options or replace a worn-out controller, the JYELUK Replacement offers a solid choice without breaking the bank. It's a practical solution for Nintendo Switch enthusiasts.",4,B0CY1PYZYT,"Offers cost-effective alternative gamers seeking additional replacement controller. This controller compatible Nintendo Switch provides reliable responsive gaming experience. Its design closely mirrors original Switch controller, ensuring familiar functionality comfort gameplay. The build quality commendable, offering durability withstand extended gaming sessions. For looking expand multiplayer gaming options replace worn-out controller, JYELUK Replacement offers solid choice without breaking bank. It's practical solution Nintendo Switch enthusiasts.",0.0,0.753,0.247,0.9325,1
1520,1632,1632,They do work,Amazing. The LED lights on the side are super bright and colorful. Plays amazingly well.,5,B0CY1PYZYT,Amazing. The LED lights side super bright colorful. Plays amazingly well.,0.0,0.286,0.714,0.9324,1
1521,1633,1633,It’s ok,It doesn’t work as well as original. The buttons don’t work right.  It sometimes moves on its own.  Very frustrating.  Love the colors concept though.,3,B0CY1PYZYT,It doesn’t work well original. The buttons don’t work right. It sometimes moves own. Very frustrating. Love colors concept though.,0.114,0.57,0.316,0.6893,1
1522,1634,1634,Great product!,"Lights look great and don't drain the battery too quickly.  Arrived quickly, and as advertised.",5,B0CY1PYZYT,"Lights look great drain battery quickly. Arrived quickly, advertised.",0.0,0.661,0.339,0.6249,1
1523,1635,1635,nice,i thought they where going to be crappy but they seemed to be just like the original and for half the price can't complain,4,B0CY1PYZYT,thought going crappy seemed like original half price can't complain,0.218,0.363,0.419,0.3204,1
1524,1636,1636,Love the light show,OMG I enjoyed watching these light up. I have only played with them attached just long enough to set them up. And then I checked out the basic functions to make sure they worked. I'm very happy with how they light.,4,B0CY1PYZYT,OMG I enjoyed watching light up. I played attached long enough set up. And I checked basic functions make sure worked. I'm happy light.,0.0,0.592,0.408,0.8934,1
1525,1637,1637,Great charger,The cord isn’t super flimsy and don't have a loose connection where you will have to worry about the charger falling out. Plus being able to charge both my phone and smart watch at the same time now without taking up both wall outlets is awesome for the price of these chargers.,5,B0CLRT99JL,The cord isn’t super flimsy loose connection worry charger falling out. Plus able charge phone smart watch time without taking wall outlets awesome price chargers.,0.186,0.521,0.293,0.7096,1
1526,1638,1638,"Awesome, Fast Charge","I ordered these to charge my new iPhone 15 Pro Max. I was a little nervous about ordering from a brand that I haven’t heard of before, but their product was quality. It charges my phone so fast and I could swear the battery last longer after a charge from this charger. The long length allows me to have unlimited scroll time from my couch.",5,B0CLRT99JL,"I ordered charge new iPhone 15 Pro Max. I little nervous ordering brand I haven’t heard before, product quality. It charges phone fast I could swear battery last longer charge charger. The long length allows unlimited scroll time couch.",0.138,0.862,0.0,-0.4779,0
1527,1639,1639,works well,bought new cell phone and needed different size charger.  with this charger. I got both size charger on the block. very convenient,5,B0CLRT99JL,bought new cell phone needed different size charger. charger. I got size charger block. convenient,0.182,0.818,0.0,-0.4404,0
1528,1640,1640,Perfect fit,Bought new I-phones #15# and needed all new charging equipment - these filled the need perfectly,5,B0CLRT99JL,Bought new I-phones #15# needed new charging equipment - filled need perfectly,0.0,0.704,0.296,0.6369,1
1529,1641,1641,"""Purple"" is really ""pink"".","Everything is as advertised, but I would call the ""purple"" color ""pink"" (not my favorite color).",4,B0CLRT99JL,"Everything advertised, I would call ""purple"" color ""pink"" (not favorite color).",0.0,0.75,0.25,0.4588,1
1530,1642,1642,Great,Very useful thanks,5,B0CLRT99JL,Very useful thanks,0.0,0.136,0.864,0.7485,1
1531,1643,1643,Great Colors,"I love that these came in a color my kid’s won’t steel as they know it’s Mom’s.  Happy to have them use in the kitchen, but please don’t take my charging cords anywhere else in the house.",5,B0CLRT99JL,"I love came color kid’s won’t steel know it’s Mom’s. Happy use kitchen, please don’t take charging cords anywhere else house.",0.0,0.625,0.375,0.8807,1
1532,1644,1644,Great Value/Fast Charging,Works great,5,B0CLRT99JL,Works great,0.0,0.196,0.804,0.6249,1
1533,1646,1646,It works,It works fine. Cord is way too long- 10 feet. Makes it bulky to carry for travel. Wish they had one with 3 receptacles so I can have one charger for my 3 Apple products for traveling.,4,B0CLRT99JL,It works fine. Cord way long- 10 feet. Makes bulky carry travel. Wish one 3 receptacles I one charger 3 Apple products traveling.,0.0,0.8,0.2,0.5423,1
1534,1647,1647,Awesome!!!,"I bought two other charging banks before this that barely worked, one of them taking six hours to charge my phone battery about halfway and then  running out of juice, the other one taking overnight to recharge itself only partially.

But this one charges my iPhone to 80+ percent in just over an hour And I can recharge my phone 2 1/2 times before it’s depleted. I’m also so grateful for  the built-in cords that make it so easy I can even recharge my phone in my purse. I was out of town for the weekend, charged my phone twice and still came home with some juice left in the charging bank. Great product, thank you so much!!!",5,B0D4511XR3,"I bought two charging banks barely worked, one taking six hours charge phone battery halfway running juice, one taking overnight recharge partially. But one charges iPhone 80+ percent hour And I recharge phone 2 1/2 times it’s depleted. I’m also grateful built-in cords make easy I even recharge phone purse. I town weekend, charged phone twice still came home juice left charging bank. Great product, thank much!!!",0.062,0.714,0.225,0.9411,1
1535,1648,1648,Works great with magnetic iPhone case!,"Sturdy, weighs equal or just slightly heavier than iPhone 14 with a magnetic case. The connected C plug and lightning plug is extremely convenient for other devices that do not have the magnetic charging feature. Magnetically connects easily with my iPhone. I haven’t charged my phone completely so I can’t speak of the speed of charging. I bought this because my iPhone charging port has broken- so problem solved. The fact that it’s portable is icing on the cake. Fast shipping, secure packaging. Satisfied.",5,B0D4511XR3,"Sturdy, weighs equal slightly heavier iPhone 14 magnetic case. The connected C plug lightning plug extremely convenient devices magnetic charging feature. Magnetically connects easily iPhone. I haven’t charged phone completely I can’t speak speed charging. I bought iPhone charging port broken- problem solved. The fact it’s portable icing cake. Fast shipping, secure packaging. Satisfied.",0.126,0.713,0.161,0.2732,1
1536,1649,1649,This thing works!,"I can charge my phone and iPad at the same time, or my phone and a friends. The greatest part is I don't have to carry any cables with me. I get to just take the little pack with me. My coworkers saw me using it and also bought it because it's just that good! The magnet really works and it's strong, the battery on it works great too! Everytime my iPads dying this gets it back up!",5,B0D4511XR3,"I charge phone iPad time, phone friends. The greatest part I carry cables me. I get take little pack me. My coworkers saw using also bought good! The magnet really works strong, battery works great too! Everytime iPads dying gets back up!",0.0,0.644,0.356,0.9626,1
1537,1650,1650,Strong magnetic hold,"This charger has a strong hold. Gave 4 stars because it doesn’t charge as fast as I hoped but it does charge. I love the fact that it has many options for charging on it and someone else can charge their phone if they need too. I also love that it shows you how much charge is left on it.
Would recommend.",4,B0D4511XR3,This charger strong hold. Gave 4 stars doesn’t charge fast I hoped charge. I love fact many options charging someone else charge phone need too. I also love shows much charge left it. Would recommend.,0.0,0.607,0.393,0.9501,1
1538,1651,1651,Multiple ports with lots of storage.,"I love this battery. It features 2 attached cables.,
The cables are faster than wireless and provides  the ability to charge more than one item at a time.
The capacity supports multiple charges.
The attached stored cords keeps them at hand an ready to use.",5,B0D4511XR3,"I love battery. It features 2 attached cables., The cables faster wireless provides ability charge one item time. The capacity supports multiple charges. The attached stored cords keeps hand ready use.",0.053,0.578,0.369,0.9118,1
1539,1652,1652,BEST PRODUCT EVER,"i am going on a trip soon, and thought id get something like this. is so honestly awesome theres a outlit and cord for everything. theres even a button to show much battery the battery has. incredible invention. 10/10 to the creator. also i use a phone that compatible with this stuff, sticks like a freaking magnet. 10/10, worth my money a trillion precent.",5,B0D4511XR3,"going trip soon, thought id get something like this. honestly awesome theres outlit cord everything. theres even button show much battery battery has. incredible invention. 10/10 creator. also use phone compatible stuff, sticks like freaking magnet. 10/10, worth money trillion precent.",0.054,0.669,0.277,0.8934,1
1540,1653,1653,Super convenient charger,I love this small charger. Holds a good charge and then is easily recharged when low. At night I can keep both phone and charger near and don’t have to get up put lights on and find wall charger.,5,B0D4511XR3,I love small charger. Holds good charge easily recharged low. At night I keep phone charger near don’t get put lights find wall charger.,0.071,0.608,0.321,0.8126,1
1541,1654,1654,"Awesome for a few months, then died. ☹️","I bought two of these battery banks (purple, with the built in cables) in November 2023.  At first they were amazing!  I loved them, they are easy to carry around, stay charged for a long time, and have been super useful to charge my iPhone, AirPods, and Apple Watch.

However, in February 2024 one of them just stopped working.  It looks as though it is charged up when plugged in to charge, but as soon as I attempt to use any of the charging ports or magnetic charger or cables it just flashes “188” for a few seconds and shuts off.

I was willing to just assume it was dud, and continued to use the second one, but as of today (May 2024) the second one is now doing the same thing and it won’t charge any devices at all.  It just flashes the “188” for a few seconds and then turns off.

I really want these to be reliable.  I love their multiple ports and charging features, and up until they both just died, they were awesome.

When the first one died I debated buying another one because I like them so much and hoped it was just a fluke, but now I’m leery because the second one died too.",3,B0D4511XR3,"I bought two battery banks (purple, built cables) November 2023. At first amazing! I loved them, easy carry around, stay charged long time, super useful charge iPhone, AirPods, Apple Watch. However, February 2024 one stopped working. It looks though charged plugged charge, soon I attempt use charging ports magnetic charger cables flashes “188” seconds shuts off. I willing assume dud, continued use second one, today (May 2024) second one thing won’t charge devices all. It flashes “188” seconds turns off. I really want reliable. I love multiple ports charging features, died, awesome. When first one died I debated buying another one I like much hoped fluke, I’m leery second one died too.",0.132,0.629,0.238,0.9489,1
1542,1655,1655,Big Dog Riff Recommend This.,"Love the product works great for me while working 12 hours.
Need to have PDF manual had to search for first time user stuff.",4,B0D4511XR3,Love product works great working 12 hours. Need PDF manual search first time user stuff.,0.0,0.61,0.39,0.8519,1
1543,1656,1656,Portable wireless charger for IPhones,"This charger performs exactly as advertised. Some reviews complain about charging time. My impression is that it holds enough battery power for several recharges or to charge several devices simultaneously. I imagine that would take some time to replace. Other reviews say it takes a tool to get the charging cables out of their compartments, but I found it easy to do with a thumbnail. (See video) The magnetic hold is not powerful enough to hold through my case but it will charge if centered properly. When I remove the case the magnetic grip is excellent, holding the charger in place and serving as a phone stand, a grip, whatever. If this charger doesn’t continue to perform well I will revise the review but I don’t see that happening.
Edit: I have bought three of these chargers. The first took days to fully charge, because I kept unplugging it and using it. I used the larger charge port to do this. The second was for my wife who immediately wanted one of her own. I charged it overnight with the smaller, iPhone style port. Then I dropped the first one and the case came loose. It still works fine but I wanted a backup in case it broke down. I charged it with the iPhone charger port too and it was fully charged in an hour.
TLDR: Use the iPhone style charger port to charge the battery quickly for your first run. It charges multiple devices simultaneously quickly. Get it",5,B0D4511XR3,"This charger performs exactly advertised. Some reviews complain charging time. My impression holds enough battery power several recharges charge several devices simultaneously. I imagine would take time replace. Other reviews say takes tool get charging cables compartments, I found easy thumbnail. (See video) The magnetic hold powerful enough hold case charge centered properly. When I remove case magnetic grip excellent, holding charger place serving phone stand, grip, whatever. If charger doesn’t continue perform well I revise review I don’t see happening. Edit: I bought three chargers. The first took days fully charge, I kept unplugging using it. I used larger charge port this. The second wife immediately wanted one own. I charged overnight smaller, iPhone style port. Then I dropped first one case came loose. It still works fine I wanted backup case broke down. I charged iPhone charger port fully charged hour. TLDR: Use iPhone style charger port charge battery quickly first run. It charges multiple devices simultaneously quickly. Get",0.091,0.818,0.091,0.2732,1
1544,1657,1657,Replaced another adapter that did not work consistently,"I frequently travel to client offices and encounter a variety of projectors. Some adapters just would not work. However, a friend recommended this one and I've not had a single problem since. Other people ask me to borrow mine since they have also had issues. It costs a little more but well worth it.",5,B00QXRF9PU,"I frequently travel client offices encounter variety projectors. Some adapters would work. However, friend recommended one I've single problem since. Other people ask borrow mine since also issues. It costs little well worth it.",0.069,0.716,0.215,0.5759,1
1545,1658,1658,Easy to use out of the box and the bonus ...,Easy to use out of the box and the bonus of the audio out jack allows me to plug it directly into speaker vs having to route it through another source. The cable is pretty sturdy looking and the plastic on the adapter also feels pretty durable I think you would have to try to break it.,5,B00QXRF9PU,Easy use box bonus audio jack allows plug directly speaker vs route another source. The cable pretty sturdy looking plastic adapter also feels pretty durable I think would try break it.,0.0,0.67,0.33,0.9153,1
1546,1660,1660,I like it,Good I like it. I will buy again. I will recommend it to family And friends,5,B00QXRF9PU,Good I like it. I buy again. I recommend family And friends,0.0,0.312,0.688,0.875,1
1547,1661,1661,Great Product,"Works great, our IT guy was even impressed with the quality.  Much cheaper here then the Big Box Store that starts with B!",5,B00QXRF9PU,"Works great, IT guy even impressed quality. Much cheaper Big Box Store starts B!",0.0,0.616,0.384,0.8172,1
1548,1662,1662,"Requires USB power (not included), not robust","I used this to connect my Sony Bluray player to a projector.  It did not include the USB power supply but would not function properly without it.  Without the USB power the screen would go blank for a moment and then start again.

The unit functioned well for three years and then failed.  For the high price compared to similar units I would expect it to function without USB power (or come with the adapter) and to last longer than three years.",2,B00QXRF9PU,I used connect Sony Bluray player projector. It include USB power supply would function properly without it. Without USB power screen would go blank moment start again. The unit functioned well three years failed. For high price compared similar units I would expect function without USB power (or come adapter) last longer three years.,0.06,0.903,0.038,-0.296,0
1549,1663,1663,Five Stars,"It is a great little item, works with any device, as far as I've been able to tell!",5,B00QXRF9PU,"It great little item, works device, far I've able tell!",0.0,0.672,0.328,0.6588,1
1550,1664,1664,One Year Old and Still going Strong,"Although I did not purchase my adapter off Amazon, I have bought it over a year ago and with almost constant use, and being plugged and unplugged frequently, mine is still going strong. I do have ALL my computer related equipment going through a serge suppressor so that might help with its' lengthy life thus far.",4,B00QXRF9PU,"Although I purchase adapter Amazon, I bought year ago almost constant use, plugged unplugged frequently, mine still going strong. I ALL computer related equipment going serge suppressor might help its' lengthy life thus far.",0.0,0.784,0.216,0.7717,1
1551,1665,1665,It's still working great.,"I bought this a year ago from another retailer, but same brand name and model.  It's still working great.",4,B00QXRF9PU,"I bought year ago another retailer, brand name model. It's still working great.",0.0,0.728,0.272,0.6249,1
1552,1666,1666,Easy to use but short-lived,"It was easy to use this adapter: plug into the laptop's HDMI port and it's ready to use. No external USB power required, no driver to install. But within three months of infrequent use, the adapter quit sending video output (even though it worked fine the day before). The best guess I had was a static shock between me and the adapter fried it. Not a very robust design, huh?",2,B00QXRF9PU,"It easy use adapter: plug laptop's HDMI port ready use. No external USB power required, driver install. But within three months infrequent use, adapter quit sending video output (even though worked fine day before). The best guess I static shock adapter fried it. Not robust design, huh?",0.13,0.669,0.201,0.6305,1
1553,1667,1667,Great Headphone's,"I like these headphones,  the sound comes through clear, has a pretty strong range so you don't have to carry your phone from room to room, works great so far on calls, no one has complained that they couldn't understand me or hear me! I love the comfort and adjustment, I also love the colors! I have only had mine for a short time, I have used them about 20 -30 times, and so far I can't complain, except I wish that they were noise canceling headphones! Great for how much they cost! I would definitely buy another pair, especially if they made them with noise canceling headphones! 🙉",5,B0CDW3LTJT,"I like headphones, sound comes clear, pretty strong range carry phone room room, works great far calls, one complained understand hear me! I love comfort adjustment, I also love colors! I mine short time, I used 20 -30 times, far I can't complain, except I wish noise canceling headphones! Great much cost! I would definitely buy another pair, especially made noise canceling headphones! 🙉",0.059,0.502,0.439,0.9858,1
1554,1668,1668,They work for me,"They have great quality, there loud, they don’t die fast, and they can become wired headphones.",5,B0CDW3LTJT,"They great quality, loud, don’t die fast, become wired headphones.",0.244,0.5,0.256,0.0516,1
1555,1669,1669,Fun Headphones,These light up headphones are a great addition to any music lover or gamer. The vibrant LED lights add an extra fun element to your listening or gaming experience. My kids love them!,5,B0CDW3LTJT,These light headphones great addition music lover gamer. The vibrant LED lights add extra fun element listening gaming experience. My kids love them!,0.0,0.485,0.515,0.9642,1
1556,1670,1670,"Good quality, only one issue","I bought these headphones, yesterday, I think? They came super quickly, which I'm very happy about. It was probably less than 24 hours before they arrived, although I wasn't keeping track. The sound quality is much better than my other pair, and they work very well. The battery seems to last a long time, too. My only issue is that they have been making a weird popping noise and I'm not sure why. I've looked at YouTube videos on possible reasons or solutions but I haven't found much. It's probably one of two possible scenarios. (1. It's a malfunction in the wiring of the pair I got, and there's nothing I can do about it), or (2. I did something wrong somehow in setting it up and it screwed up or maybe some other reason I don't know yet.) Other than that one problem, it works great! The popping only seems to happen when I click things with my mouse sometimes and it comes in waves lol. It also only happens in the left ear.",4,B0CDW3LTJT,"I bought headphones, yesterday, I think? They came super quickly, I'm happy about. It probably less 24 hours arrived, although I keeping track. The sound quality much better pair, work well. The battery seems last long time, too. My issue making weird popping noise I'm sure why. I've looked YouTube videos possible reasons solutions I found much. It's probably one two possible scenarios. (1. It's malfunction wiring pair I got, there's nothing I it), (2. I something wrong somehow setting screwed maybe reason I know yet.) Other one problem, works great! The popping seems happen I click things mouse sometimes comes waves lol. It also happens left ear.",0.088,0.716,0.196,0.92,1
1557,1671,1671,Can't Adjust the Volume,The volume adjust doesn't work manually or with my computer. :( Not happy with these headphones and definitely not worth the price I paid for them. Can't recommend them.,1,B0CDW3LTJT,The volume adjust work manually computer. :( Not happy headphones definitely worth price I paid them. Can't recommend them.,0.408,0.517,0.075,-0.8109,0
1558,1672,1672,Great for price,These were a gift ordered the day before fathers day and they came the next day on Father's day!! My husband has a PC and everything lights up these match the whole these perfectly he was psyched when he opened them. Our daughter heard the ring door bell so we ran outside as they were delivered she opened the box gave to him and said happy fathers day!! They were like $23 with tax and everything. They are noise canceling there is a mic built in but he has a pro mic he uses these to game at night while I'm asleep. Perfect he just talks louder now but that's fine,5,B0CDW3LTJT,These gift ordered day fathers day came next day Father's day!! My husband PC everything lights match whole perfectly psyched opened them. Our daughter heard ring door bell ran outside delivered opened box gave said happy fathers day!! They like $23 tax everything. They noise canceling mic built pro mic uses game night I'm asleep. Perfect talks louder that's fine,0.0,0.73,0.27,0.9636,1
1559,1673,1673,people ask where we get these everywhere we go,"These are pretty good for everyday use with an ipad or iphone.  They can fit easily over hearing aids and seem to block out noise pretty well. The price is reasonable too.  My son uses them all day, every day and they seem to last about six months.  I usually buy several at a time, to have back-ups on hand.  We've tried pricey headphones and with my son's usage, they too have only lasted about six months...so, I will continue to purchase these much more affordable headphones.  Plus, everywhere we go, someone comments how cool they look.",5,B0CDW3LTJT,"These pretty good everyday use ipad iphone. They fit easily hearing aids seem block noise pretty well. The price reasonable too. My son uses day, every day seem last six months. I usually buy several time, back-ups hand. We've tried pricey headphones son's usage, lasted six months...so, I continue purchase much affordable headphones. Plus, everywhere go, someone comments cool look.",0.039,0.665,0.296,0.9509,1
1560,1674,1674,Keeps disconnecting,"The headphone are great and exactly what I wanted, except they keep randomly disconnecting. My son loves them though so I'll keep them.",3,B0CDW3LTJT,"The headphone great exactly I wanted, except keep randomly disconnecting. My son loves though I'll keep them.",0.0,0.642,0.358,0.8316,1
1561,1675,1675,Best for short-term use only. Save up for a better headset.,"I got this headset around 3 years ago and they seemed really good for the asking price. However, I started having some major issues with it early on. By default, the left and right channels were switched. This made it difficult to enjoy videos/music/games that use stereo audio, particularly ASMR. It took several months before I could figure out how to switch them back through settings on my Macbook. For my PC, I had to keep a software installed just so the audio channels were in the correct output. On top of that, the bluetooth would disconnect frequently and cause the headset to switch off. I stopped using them after the plastic head band broke in half one day. I now use the Logitech G733 headset and it works a hundred times better then this one. Don't be swayed by the low price; you'll find that saving up for a better headset like the G733 will be worth it in the end.",2,B0CDW3LTJT,"I got headset around 3 years ago seemed really good asking price. However, I started major issues early on. By default, left right channels switched. This made difficult enjoy videos/music/games use stereo audio, particularly ASMR. It took several months I could figure switch back settings Macbook. For PC, I keep software installed audio channels correct output. On top that, bluetooth would disconnect frequently cause headset switch off. I stopped using plastic head band broke half one day. I use Logitech G733 headset works hundred times better one. Don't swayed low price; find saving better headset like G733 worth end.",0.066,0.747,0.186,0.9002,1
1562,1676,1676,Comfy fit,These work for what they are intended. However. The mic could be a bit better. 85% of the time ppl can’t hear me when I speak. They say my volume is too low even when I’m near max. Aside from the lack of mic quality they are near perfect.,4,B0CDW3LTJT,These work intended. However. The mic could bit better. 85% time ppl can’t hear I speak. They say volume low even I’m near max. Aside lack mic quality near perfect.,0.122,0.694,0.183,0.4939,1
1563,1677,1677,Yes! They work!,80% and full coverage great. Just can’t read numbers through 80% it does diffuse and blur so if you need to know exactly what numbers are try something else but They did what I needed for sleeping 💤,5,B0BYZ9VM9H,80% full coverage great. Just can’t read numbers 80% diffuse blur need know exactly numbers try something else They I needed sleeping 💤,0.0,0.83,0.17,0.6249,1
1564,1678,1678,Inexpensive but does the job GREAT,My wife always tries to turn every light in the house off--even when on vacation in a hotel.  At home she covers the little night lights with pillows and in hotels uses kleenex; washcloths; whatever she can find.  For the inexpensive price of these black small covers it was a no brainer for me....I am sure some will travel with us on vacay.  Good product. Great price,5,B0BYZ9VM9H,My wife always tries turn every light house off--even vacation hotel. At home covers little night lights pillows hotels uses kleenex; washcloths; whatever find. For inexpensive price black small covers brainer me....I sure travel us vacay. Good product. Great price,0.0,0.799,0.201,0.8519,1
1565,1679,1679,"Goodbye, Pesky LED Glare","Picture this: It's midnight, you're cozily tucked in bed, and the room is pitch dark, just the way you like it for a good night's sleep. But wait, there's a small, annoying LED light from your electronic device flickering persistently. Sounds familiar, right? Well, I stumbled upon a simple yet brilliant solution - stickers!

I'll be honest, initially, I was skeptical. How could something as straightforward as a sticker solve my light pollution woes? But, to my surprise, these stickers are a game-changer. They come in two sheets, offering a variety of sizes and shapes (circle and rectangular) to fit different devices. The package contains both black and white stickers, catering to different surface colors of our various light-emitting devices.

What impressed me the most was their effectiveness. These stickers block 100% of LED lights, and the adhesive strength is remarkable. They stick firmly without leaving any residue when removed. Plus, they are incredibly easy to use – just peel and stick. I’ve used them on my router, printer, and even my laptop charger, and the results are flawless. No more unwanted LED glare!

Another aspect worth mentioning is their versatility. The stickers are not just for nighttime. I found them useful for dimming lights on devices I use during the day, creating a more comfortable and distraction-free environment.

The pack includes two sheets, and the price is a small investment for the comfort and convenience they offer. These stickers have become an essential in my household, and I've even recommended them to friends and family.

Finally, a peaceful night's sleep or a focused work session is no longer disrupted by tiny, bright lights. These simple stickers have become my little secret to a more serene and comfortable living space.",5,B0BYZ9VM9H,"Picture this: It's midnight, cozily tucked bed, room pitch dark, way like good night's sleep. But wait, there's small, annoying LED light electronic device flickering persistently. Sounds familiar, right? Well, I stumbled upon simple yet brilliant solution - stickers! I'll honest, initially, I skeptical. How could something straightforward sticker solve light pollution woes? But, surprise, stickers game-changer. They come two sheets, offering variety sizes shapes (circle rectangular) fit different devices. The package contains black white stickers, catering different surface colors various light-emitting devices. What impressed effectiveness. These stickers block 100% LED lights, adhesive strength remarkable. They stick firmly without leaving residue removed. Plus, incredibly easy use – peel stick. I’ve used router, printer, even laptop charger, results flawless. No unwanted LED glare! Another aspect worth mentioning versatility. The stickers nighttime. I found useful dimming lights devices I use day, creating comfortable distraction-free environment. The pack includes two sheets, price small investment comfort convenience offer. These stickers become essential household, I've even recommended friends family. Finally, peaceful night's sleep focused work session longer disrupted tiny, bright lights. These simple stickers become little secret serene comfortable living space.",0.074,0.569,0.357,0.9974,1
1566,1680,1680,"They Darken, But Don't Blackout. They Still Do The Job Though","These stickers will definitely darken LED's but it won't come close to blacking them out. I have learned that it is very difficult to achieve total LED blackout. You just have decide for yourself what is an acceptable level of light.

For me, the lights that I used the stickers on are definitely dimmer than they were. Do I wish it could have been a bit darker? Yes. But, for 80% tint, it will do.

The stickers are easy to separate from the paper and place over the LED. They are also easy to cut. I marked the opposite side of the sticker (the white paper) and then cut it. On flip side, the sticker is easily removed  and appears that it can be reused. It does not leave any residue when removed, which is a plus.

I like these stickers. This is my second go-around with them. There are a lot of factors that play a part in the stickers' dimming effect, mainly the brightness of the LED. I would recomend these stickers, just do not expect a miracle though.",4,B0BYZ9VM9H,"These stickers definitely darken LED's come close blacking out. I learned difficult achieve total LED blackout. You decide acceptable level light. For me, lights I used stickers definitely dimmer were. Do I wish could bit darker? Yes. But, 80% tint, do. The stickers easy separate paper place LED. They also easy cut. I marked opposite side sticker (the white paper) cut it. On flip side, sticker easily removed appears reused. It leave residue removed, plus. I like stickers. This second go-around them. There lot factors play part stickers' dimming effect, mainly brightness LED. I would recomend stickers, expect miracle though.",0.069,0.644,0.287,0.9787,1
1567,1681,1681,White doesn’t block all light,"Overall, the stickers are smaller than I thought they would be. The black seems to block the light out pretty well, but the white definitely has light coming through so I had to use a black sticker underneath a white sticker.",3,B0BYZ9VM9H,"Overall, stickers smaller I thought would be. The black seems block light pretty well, white definitely light coming I use black sticker underneath white sticker.",0.097,0.635,0.268,0.6249,1
1568,1682,1682,Good mix of sizes and colors,Useful product to have with so many light emitting devices in most homes. They remove easily from release liner and seem to effectively block 100% of light from everything I’ve tried them on.,5,B0BYZ9VM9H,Useful product many light emitting devices homes. They remove easily release liner seem effectively block 100% light everything I’ve tried on.,0.103,0.605,0.292,0.6486,1
1569,1683,1683,They really work,"I sleep with my eyes cracked open and all the little stand-by lights are at the same height as my eyes. I am disabled and have a bunch of equipment in my bedroom with those lights on. White, blue, red, green, doesn't matter what color, these stickers cover them all. Best sleep I've had in a while!",5,B0BYZ9VM9H,"I sleep eyes cracked open little stand-by lights height eyes. I disabled bunch equipment bedroom lights on. White, blue, red, green, matter color, stickers cover all. Best sleep I've while!",0.0,0.823,0.177,0.68,1
1570,1684,1684,I only received the black light blocking stickers but I needed the white stickers!,I only received half of this order!!!  Help!!,1,B0BYZ9VM9H,I received half order!!! Help!!,0.0,0.437,0.563,0.5951,1
